x,y,z_COG,w_COG,z_MoM,w_MoM,z_ModMoM,w_ModMoM,z_CA,w_CA
-4.0,0.0,1.633333333333333,1133.3000000000907,0.0,1199.9000000001365,0.0,1199.9000000001365,0.0,1199.9000000001365
-4.0,0.1,1.6511904761904759,1132.6966954677202,0.25,1189.9500000001342,0.25,1189.9500000001342,0.25,1189.9500000001342
-4.0,0.2,1.6934426229508197,1131.0824093373021,0.5000000000000001,1179.950000000132,0.5,1179.950000000132,0.5,1179.950000000132
-4.0,0.3,1.7545454545454549,1128.6905348211596,0.75,1169.9500000001296,0.75,1169.9500000001296,0.7499999999999999,1169.9500000001296
-4.0,0.4,1.8305164319248826,1125.6877575325245,1.0,1159.9500000001274,1.0,1159.9500000001274,1.0,1159.9500000001274
-4.0,0.5,1.9184210526315795,1122.196298766326,1.25,1149.9500000001249,1.25,1149.950000000125,1.25,1149.950000000125
-4.0,0.6,3.9183206106870214,1118.307814942239,1.5,1139.9500000001228,1.5,1139.9500000001228,2.6666666666666665,1133.2833333334547
-4.0,0.7,4.683720930232558,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,3.6071428571428568,1135.6642857144075
-4.0,0.8,4.880046403712297,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,4.2875,1149.950000000125
-4.0,0.9,4.9697722567287785,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,4.694444444444444,1172.1722222223523
-4.0,1.0,5.0,1133.3000000000907,5.0,1199.9000000001365,5.0,1199.9000000001365,5.0,1199.9000000001365
-4.0,1.1,5.030227743271221,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,5.305555555555555,1172.1722222223523
-4.0,1.2,5.119953596287701,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,5.7875,1149.950000000125
-4.0,1.3,5.316279069767444,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,6.392857142857142,1135.6642857144075
-4.0,1.4,6.081679389312978,1118.3078149422388,8.5,1139.9500000001228,8.5,1139.9500000001228,7.333333333333333,1133.2833333334547
-4.0,1.5,8.081578947368422,1122.196298766326,8.750000000000002,1149.9500000001249,8.75,1149.950000000125,8.75,1149.950000000125
-4.0,1.6,8.169483568075112,1125.6877575325248,9.0,1159.9500000001274,9.0,1159.9500000001274,9.0,1159.9500000001274
-4.0,1.7,8.245454545454548,1128.6905348211596,9.25,1169.9500000001296,9.25,1169.9500000001296,9.25,1169.9500000001296
-4.0,1.8,8.30655737704918,1131.0824093373021,9.500000000000002,1179.950000000132,9.5,1179.950000000132,9.5,1179.950000000132
-4.0,1.9,8.348809523809525,1132.6966954677202,9.750000000000002,1189.9500000001342,9.75,1189.9500000001342,9.75,1189.9500000001342
-4.0,2.0,8.366666666666665,1133.3000000000907,10.0,1199.9000000001365,10.0,1199.9000000001365,10.0,1199.9000000001365
