x,y,z_COG,z_MOM,z_ModifiedMOM,z_CA,w_COG,w_MOM,w_ModifiedMOM,w_CA
-4.0,0.0,1.633333333333333,0.0,0.0,-2.6645352591003757e-15,1133.6666666666667,1200.0,1200.0,1200.0
-4.0,0.1,1.6511904761904759,0.25,0.25,0.24999999999999734,1133.0331825037708,1190.0,1190.0,1190.0
-4.0,0.2,1.6934426229508197,0.5000000000000001,0.5,0.4999999999999978,1131.398340248963,1180.0,1180.0,1180.0
-4.0,0.30000000000000004,1.7545454545454549,0.75,0.75,0.749999999999998,1128.9923371647508,1170.0,1170.0,1170.0
-4.0,0.4,1.8305164319248826,1.0,1.0,0.9999999999999986,1125.9798339264532,1160.0,1160.0,1160.0
-4.0,0.5,1.9184210526315795,1.25,1.25,1.2499999999999984,1122.4817275747507,1150.0,1150.0,1150.0
-4.0,0.6000000000000001,3.918320610687024,1.5,1.5,2.666666666666668,1118.588785046729,1140.0,1140.0,1133.3333333333333
-4.0,0.7000000000000001,4.683720930232558,5.0,5.0,3.60714285714286,1118.5887850467288,1140.0,1140.0,1135.7142857142858
-4.0,0.8,4.880046403712297,5.0,5.0,4.250000000000004,1125.9798339264535,1160.0,1160.0,1150.0
-4.0,0.9,4.9697722567287785,5.0,5.0,4.694444444444452,1131.398340248963,1180.0,1180.0,1172.2222222222222
-4.0,1.0,5.0,5.0,5.0,5.000000000000011,1133.6666666666667,1200.0,1200.0,1200.0
-4.0,1.1,5.030227743271221,5.0,5.0,5.305555555555564,1131.3983402489625,1180.0,1180.0,1172.2222222222222
-4.0,1.2000000000000002,5.119953596287702,5.0,5.0,5.750000000000007,1125.9798339264532,1160.0,1160.0,1150.0
-4.0,1.3,5.316279069767444,5.0,5.0,6.392857142857148,1118.588785046729,1140.0,1140.0,1135.7142857142858
-4.0,1.4000000000000001,6.08167938931298,8.5,8.5,7.333333333333338,1118.5887850467288,1140.0,1140.0,1133.3333333333335
-4.0,1.5,8.081578947368422,8.750000000000002,8.75,8.750000000000005,1122.4817275747507,1150.0,1150.0,1150.0
-4.0,1.6,8.169483568075112,9.0,9.0,9.000000000000007,1125.9798339264535,1160.0,1160.0,1160.0
-4.0,1.7000000000000002,8.245454545454548,9.25,9.25,9.250000000000007,1128.992337164751,1170.0,1170.0,1170.0
-4.0,1.8,8.30655737704918,9.500000000000002,9.5,9.500000000000009,1131.398340248963,1180.0,1180.0,1180.0
-4.0,1.9000000000000001,8.348809523809527,9.750000000000002,9.75,9.75000000000001,1133.0331825037708,1190.0,1190.0,1190.0
-4.0,2.0,8.366666666666665,10.0,10.0,10.00000000000001,1133.6666666666667,1200.0,1200.0,1200.0
-3.9,0.0,1.635237534354142,0.05,0.05,0.062499999999997335,1133.6181229773463,1197.5,1197.5,1197.5
-3.9,0.1,1.6511904761904759,0.25,0.25,0.24999999999999734,1133.0331825037708,1190.0,1190.0,1190.0
-3.9,0.2,1.6934426229508197,0.5000000000000001,0.5,0.4999999999999978,1131.398340248963,1180.0,1180.0,1180.0
-3.9,0.30000000000000004,1.7545454545454549,0.75,0.75,0.749999999999998,1128.9923371647508,1170.0,1170.0,1170.0
-3.9,0.4,1.8305164319248826,1.0,1.0,0.9999999999999986,1125.9798339264532,1160.0,1160.0,1160.0
-3.9,0.5,1.9184210526315795,1.25,1.25,1.2499999999999984,1122.4817275747507,1150.0,1150.0,1150.0
-3.9,0.6000000000000001,3.918320610687024,1.5,1.5,2.666666666666668,1118.588785046729,1140.0,1140.0,1133.3333333333333
-3.9,0.7000000000000001,4.683720930232558,5.0,5.0,3.60714285714286,1118.5887850467288,1140.0,1140.0,1135.7142857142858
-3.9,0.8,4.880046403712297,5.0,5.0,4.250000000000004,1125.9798339264535,1160.0,1160.0,1150.0
-3.9,0.9,4.9697722567287785,5.0,5.0,4.694444444444452,1131.398340248963,1180.0,1180.0,1172.2222222222222
-3.9,1.0,4.999999999999999,5.0,5.0,5.000000000000011,1133.6181229773463,1197.5,1197.5,1197.5
-3.9,1.1,5.030227743271221,5.0,5.0,5.305555555555564,1131.3983402489625,1180.0,1180.0,1172.2222222222222
-3.9,1.2000000000000002,5.119953596287702,5.0,5.0,5.750000000000007,1125.9798339264532,1160.0,1160.0,1150.0
-3.9,1.3,5.316279069767444,5.0,5.0,6.392857142857148,1118.588785046729,1140.0,1140.0,1135.7142857142858
-3.9,1.4000000000000001,6.08167938931298,8.5,8.5,7.333333333333338,1118.5887850467288,1140.0,1140.0,1133.3333333333335
-3.9,1.5,8.081578947368422,8.750000000000002,8.75,8.750000000000005,1122.4817275747507,1150.0,1150.0,1150.0
-3.9,1.6,8.169483568075112,9.0,9.0,9.000000000000007,1125.9798339264535,1160.0,1160.0,1160.0
-3.9,1.7000000000000002,8.245454545454548,9.25,9.25,9.250000000000007,1128.992337164751,1170.0,1170.0,1170.0
-3.9,1.8,8.30655737704918,9.500000000000002,9.5,9.500000000000009,1131.398340248963,1180.0,1180.0,1180.0
-3.9,1.9000000000000001,8.348809523809527,9.750000000000002,9.75,9.75000000000001,1133.0331825037708,1190.0,1190.0,1190.0
-3.9,2.0,8.364762465645855,9.95,9.95,9.93750000000001,1133.6181229773463,1197.5,1197.5,1197.5
-3.8,0.0,1.6389216843762298,0.10000000000000002,0.1,0.12499999999999734,1133.4928909952607,1195.0,1195.0,1195.0
-3.8,0.1,1.6511904761904759,0.25,0.25,0.24999999999999734,1133.0331825037708,1190.0,1190.0,1190.0
-3.8,0.2,1.6934426229508197,0.5000000000000001,0.5,0.4999999999999978,1131.398340248963,1180.0,1180.0,1180.0
-3.8,0.30000000000000004,1.7545454545454549,0.75,0.75,0.749999999999998,1128.9923371647508,1170.0,1170.0,1170.0
-3.8,0.4,1.8305164319248826,1.0,1.0,0.9999999999999986,1125.9798339264532,1160.0,1160.0,1160.0
-3.8,0.5,1.9184210526315795,1.25,1.25,1.2499999999999984,1122.4817275747507,1150.0,1150.0,1150.0
-3.8,0.6000000000000001,3.918320610687024,1.5,1.5,2.666666666666668,1118.588785046729,1140.0,1140.0,1133.3333333333333
-3.8,0.7000000000000001,4.683720930232558,5.0,5.0,3.60714285714286,1118.5887850467288,1140.0,1140.0,1135.7142857142858
-3.8,0.8,4.880046403712297,5.0,5.0,4.250000000000004,1125.9798339264535,1160.0,1160.0,1150.0
-3.8,0.9,4.9697722567287785,5.0,5.0,4.694444444444452,1131.398340248963,1180.0,1180.0,1172.2222222222222
-3.8,1.0,5.0,5.0,5.0,5.000000000000011,1133.4928909952607,1195.0,1195.0,1195.0
-3.8,1.1,5.030227743271221,5.0,5.0,5.305555555555564,1131.3983402489625,1180.0,1180.0,1172.2222222222222
-3.8,1.2000000000000002,5.119953596287702,5.0,5.0,5.750000000000007,1125.9798339264532,1160.0,1160.0,1150.0
-3.8,1.3,5.316279069767444,5.0,5.0,6.392857142857148,1118.588785046729,1140.0,1140.0,1135.7142857142858
-3.8,1.4000000000000001,6.08167938931298,8.5,8.5,7.333333333333338,1118.5887850467288,1140.0,1140.0,1133.3333333333335
-3.8,1.5,8.081578947368422,8.750000000000002,8.75,8.750000000000005,1122.4817275747507,1150.0,1150.0,1150.0
-3.8,1.6,8.169483568075112,9.0,9.0,9.000000000000007,1125.9798339264535,1160.0,1160.0,1160.0
-3.8,1.7000000000000002,8.245454545454548,9.25,9.25,9.250000000000007,1128.992337164751,1170.0,1170.0,1170.0
-3.8,1.8,8.30655737704918,9.500000000000002,9.5,9.500000000000009,1131.398340248963,1180.0,1180.0,1180.0
-3.8,1.9000000000000001,8.348809523809527,9.750000000000002,9.75,9.75000000000001,1133.0331825037708,1190.0,1190.0,1190.0
-3.8,2.0,8.36107831562377,9.9,9.9,9.87500000000001,1133.4928909952607,1195.0,1195.0,1195.0
-3.7,0.0,1.6442733017377564,0.15000000000000002,0.15000000000000002,0.18749999999999734,1133.2962962962963,1192.5,1192.5,1192.5
-3.7,0.1,1.6511904761904759,0.25,0.25,0.24999999999999734,1133.0331825037708,1190.0,1190.0,1190.0
-3.7,0.2,1.6934426229508197,0.5000000000000001,0.5,0.4999999999999978,1131.398340248963,1180.0,1180.0,1180.0
-3.7,0.30000000000000004,1.7545454545454549,0.75,0.75,0.749999999999998,1128.9923371647508,1170.0,1170.0,1170.0
-3.7,0.4,1.8305164319248826,1.0,1.0,0.9999999999999986,1125.9798339264532,1160.0,1160.0,1160.0
-3.7,0.5,1.9184210526315795,1.25,1.25,1.2499999999999984,1122.4817275747507,1150.0,1150.0,1150.0
-3.7,0.6000000000000001,3.918320610687024,1.5,1.5,2.666666666666668,1118.588785046729,1140.0,1140.0,1133.3333333333333
